Alto,Hospicio,,,,,Camina,,,,Colchane,,,,,
60 ,,,,,5 ,,,,,6 ,,,,,
,,,,,4 ,,,,,,,,,,
40 ,,,,,3 ,,,,,4 ,,,,,
,,,,,,,,,,,,,,,
20 ,,,,,2 ,,,,,2 ,,,,,
,,,,,1 ,,,,,,,,,,
0 ,,J ,,,0 ,,,,,0 ,,,,,
,mar abr ,may jun ,jul ,ago ,sept oct ,mar abr ,may jun ,jul ,ago sept ,oct mar ,abr ,may jun ,jul ,ago sept ,oct 
Huara ,,,,,,Iquique ,,,,Pica ,,,,,
6 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,75 ,,,,,10 ,,,,,
4 ,,,,,,,,,,,,,,,
,,,,,50 ,,,,,,,,,,
2 ,,,,,25 ,,,,,5 ,,,,,
,,,,,,,,,,,,,,,
,,,,,0 ,thaaill ,,,,0 ,LI ,I I ,,,II 
0 ,,,,,,mar abr ,may jun ,jul ,ago sept ,oct ,mar abr ,may jun ,jul ,ago sept ,oct 
,mar abr ,may jun ,jul ,ago ,sept oct ,,Fecha de ,primeros sintomas ,,,,Fecha de ,primeros sintomas ,,
Pozo ,Almonte ,,,,,,,,,,,,,,
80 ,,,,,,,,,,,,,,,
