Cabode,Hornos,,,,,LagunaBlanca,,,,,Natales,,,,
5 ,,,,,100 ,,,,,40 ,,,,,
4 ,,,,,075 ,,,,,,,,,,
,,,,,,,,,,,,,,,
3 2 ,,,,,050 ,,,,,30 20 ,,,,,
,,,,,025 ,,,,,10 ,,,,,
1 0 ,,,,,000 ,mar abr ,,jun jul ,,sept oct 0 ,,IN- ,L IL ,m I I- ,I 
mar ,abr ,may jun ,jul ,ago ,sept oct ,,may Fecha ,de primeros ,ago sintomas ,,mar abr ,may ,jun jul ,ago ,sept oct 
Porvenir ,,,,,,Primavera ,,,,,Punta Arenas ,,,,
,,,,,20 ,,,,,,,,,,
15 ,,,,,,,,,,200 ,,,,,
,,,,,15 ,,,,,150 ,,,,,
,,,,,,,,,,,,,,,
10 ,,,,,10 ,,,,,100 ,,,,,
5 ,,,,,,,,,,50 ,,,,,
,,,,,05 ,,,,,,,,,,
0 ,I I II ,I ,I ,,00 ,,,,,0 ,mar abr ,may ,jun jul ,ago ,sept oct 
mar ,abr ,may ,jun jul ,ago ,sept oct ,mar abr ,may ,jun jul ,ago ,sept oct ,,Fecha ,de primeros ,sintomas ,
Rio 100 ,Verde ,,,,100 ,San Gregorio ,,,,100 ,Timaukel ,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
075 ,,,,,075 ,,,,,075 ,,,,,
050 ,,,,,050 ,,,,,050 ,,,,,
,,,,,,,,,,,,,,,
025 ,,,,,,,,,,,,,,,
,,,,,025 ,,,,,025 ,,,,,
000 ,,,,,000 ,,,,,000 ,,,,,
