0,,,,,0,-,,,,0I,,,,IIIIII,
,mar abr ,may ,jun jul ,ago ,sept oct ,mar abr ,may ,jun jul ,ago sept ,oct mar ,abr ,may jun ,jul ,ago sept ,oct 
Mejillones ,,,,,,Ollague ,,,,San ,Pedro de Atacama ,,,,
30 ,,,,,3 ,,,,,15 ,,,,,
,,,,,,,,,,,,,,,
20 ,,,,,2 ,,,,,10 ,,,,,
,,,,,1 ,,,,,,,,,,
10 ,,,,,,,,,,5 ,,,,,
0 ,I L ,,,,0 ,,,,,0 ,II LI ,I till ,,,
mar ,abr ,may ,jun jul ,ago sept ,oct ,mar abr ,may jun ,jul ,ago sept ,oct mar ,abr ,may jun ,jul ,ago sept ,oct 
Sierra ,Gorda ,,,,,Taltal ,,,,Tocopilla ,,,,,
5 ,,,,,,,,,,,,,,,
4 ,,,,,75 ,,,,,15 ,,,,,
,,,,,,,,,,,,,,,
3 ,,,,,,,,,,10 ,,,,,
2 ,,,,,50 ,,,,,,,,,,
1 ,,,,,25 ,,,,,5 ,,,,,
0 ,,,,,00 ,,,,,0 ,,,,,
