6,,,,,,,100,,,,,,,,
,,,,,,,,,,,,,,,
4 ,,,,,,,075 ,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,050 ,,,,,,,,
,,,,,,,025 ,,,,,,,,
,,,,,,,,,,,,,,,
0 ,,,,,,,000 ,,,,,,,,
mar ,abr ,may ,jun ,jul ,ago ,sept oct ,,mar ,abr ,may ,jun ,jul ,ago ,,sept oct 
Coyhaique ,,,,,,,,Guaitecas ,,,,,,,
15 ,,,,,,,100 ,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,075 ,,,,,,,,
10 ,,,,,,,050 ,,,,,,,,
,,,,,,,,,,,,,,,
5 ,,,,,,,,,,,,,,,
,,,,,,,025 ,,,,,,,,
0 ,I ,I ,,,,,000 ,,,,,,,,
mar ,abr ,may ,jun ,jul ,ago ,sept ,oct ,mar ,abr ,may ,jun ,jul ,ago ,,sept oct 
