Pucon,29782,72,,241.8,O,0.0,2,,6.7
Puren ,12188 ,26 ,,213.3 ,1 ,8.2 ,2 ,,16.4 
Renaico ,10833 ,52 ,,480.0 ,1 ,9.2 ,4 ,,36.9 
Saavedra ,12793 ,99 ,,773.9 ,0 ,0.0 ,3 ,,23.5 
Temuco & ,302931 ,1052 ,,347.3 ,24 ,7.9 ,73 ,,24.1 
Teodoro Schmidt ,15786 ,31 ,,196.4 ,O ,0.0 ,1 ,,6.3 
Tolten ,10055 ,18 ,,179.0 ,0 ,0.0 ,2 ,,19.9 
Traiguen ,19314 ,49 ,,253.7 ,O ,0.0 ,4 ,,20.7 
Victoria ,35467 ,174 ,,490.6 ,7 ,19.7 ,7 ,,19.7 
Vilcun & ,30766 ,125 ,,406.3 ,2 ,6.5 ,11 ,,35.8 
Villarrica ,59103 ,100 ,,169.2 ,O ,0.0 ,3 ,,5.1 
Desconocido & ,- ,9 ,,- ,O ,- ,1 ,,- 
Total ,1014343 ,3622 ,,357.1 ,66 ,6.5 ,239 ,,23.6 
,,,,,,,,,
,SE SE SE SE ,SE SE ,SE ,SE SE ,SE SE SE ,SE SE SE ,SE ,SE SE ,SE SE SE 
Comuna ,9 10 11 12 ,13 14 ,15 ,16 17 ,18 19 20 ,21 22 23 ,24 ,25 26 ,27 28 29 
Angol ,O 1 1 3 ,10 11 ,15 ,35 27 ,12 11 7 ,24 19 57 ,59 ,41 27 ,42 16 O 
Carahue ,0 0 0 0 ,3 10 ,9 ,8 5 ,1 0 2 ,14 11 5 ,5 ,5 2 ,2 3 O 
Cholchol ,O 0 0 1 ,2 O ,O ,1 O ,O 1 O ,1 12 5 ,1 ,O 0 ,4 3 0 
Collipulli & ,O O 0 O ,O 1 ,1 ,1 3 ,O 2 9 ,9 6 8 ,9 ,6 10 ,3 O O 
Cunco ,O 0 0 O ,3 2 ,O ,1 O ,O 1 5 ,18 O 11 ,8 ,3 5 ,3 4 O 
Curacautin & ,0 0 0 2 ,O 2 ,0 ,0 2 ,O 1 0 ,O 2 4 ,9 ,O 1 ,1 1 O 
Curarrehue ,O O 1 1 ,2 O ,O ,0 O ,O 0 O ,O O 0 ,O ,O 0 ,O O O 
Ercilla ,O 0 O O ,O 4 ,1 ,4 1 ,1 0 O ,4 1 1 ,2 ,O O ,1 3 O 
Freire ,0 0 0 2 ,4 0 ,0 ,2 0 ,1 12 11 ,28 16 18 ,6 ,9 2 ,1 O O 
Galvarino ,O O O O ,O 2 ,O ,0 O ,1 0 O ,6 43 41 ,13 ,6 10 ,11 O O 
Gorbea ,O 0 1 4 ,4 2 ,O ,1 O ,2 3 O ,5 5 5 ,6 ,O O ,O 1 O 
Lautaro & ,1 0 0 6 ,3 15 ,5 ,6 2 ,6 11 3 ,14 21 6 ,10 ,5 6 ,3 1 O 
Loncoche ,O 0 0 2 ,3 2 ,4 ,3 3 ,3 3 2 ,7 19 1 ,6 ,4 17 ,3 1 0 
