Altodel,Carmen,,,,,Caldera,,,,Chanaral,,,,,
125 ,,,,,15 ,,,,,100 ,,,,,
100 ,,,,,,,,,,75 ,,,,,
,,,,,,,,,,,,,,,
75 ,,,,,10 ,,,,,50 ,,,,,
50 ,,,,,,,,,,,,,,,
25 ,,,,,5 ,,,,,25 ,,,,,
00 ,,II ,L LI I ,I I ,III I 0 ,,II ,,,ILI 00 ,,,,,
mar ,abr ,may jun ,jul ,ago ,sept oct ,mar abr ,may jun ,jul ,ago sept ,oct ,mar abr ,may jun ,jul ,ago sept ,oct 
Copiapo ,,,,,Diego ,de Almagro ,,,,Freirina ,,,,,
125 ,,,,,,,,,,8 ,,,,,
100 ,,,,,9 ,,,,,,,,,,
,,,,,,,,,,6 ,,,,,
75 ,,,,,6 ,,,,,,,,,,
50 ,,,,,,,,,,4 ,,,,,
,,,,,,,,,,,,,,,
25 ,,,,,3 ,,,,,2 ,,,,,
0 ,- ,,,,0 I ,I ,,IIIII II ,,0 ,,,,,
mar ,abr may ,jun ,jul ,ago ,sept oct ,mar abr ,may jun ,jul ,ago sept ,oct mar ,abr ,may jun ,jul ,ago sept ,oct 
Huasco ,,,,,125 ,Tierra Amarilla ,,,,Vallenar ,,,,,
,,,,,,,,,,30 ,,,,,
75 ,,,,,100 ,,,,,,,,,,
50 ,,,,,75 ,,,,,20 ,,,,,
,,,,,,,,,,,,,,,
25 ,,,,,50 ,,,,,10 ,,,,,
,,,,II ,25 ,,,,,,,,,,
00 ,,,,,00 ,ILI ,I ,,,0 ,I ,,,,
