Angol,,,,Carahue,,,,,Cholchol,,,Collipull,,,
15 ,,,,6 ,,,,3 ,,,,10 ,,,
10 ,,,,4 ,,,,2 ,,,,,,,
5 ,,,,2 ,,,,1 ,,,,5 ,,,
0 ,,,,0 ,,,,0 ,,,,0 ,LI ,,
mar ,abr may ,jun jul ,ago ,sept mar ,abr may ,jun jul ,,ago sept ,mar abr may jun ,jul ago ,sept ,mar ,abr may ,jun ,jul ago sept 
Cunco ,,,,,Curacautin ,,,,Curarrehue ,,,Ercilla ,,,
6 ,,,,3 ,,,,100 ,,,,9 ,,,
4 ,,,,2 ,,,,075 ,,,,6 ,,,
2 ,,,,1 ,,,,050 ,,,,3 ,,,
0 ,II ,,,0 ,,,,025 000 ,,,,0 ,II I II ,ILI I LI ,imI IIL 
mar ,abr may ,jun jul ,ago ,sept mar ,abr may ,jun jul ,ago ,sept ,mar abr may jun ,jul ,ago sept ,mar ,abr may ,jun ,jul ago sept 
Freire ,,,,Galvarino ,,,,,Gorbea ,,,Lautaro ,,,
75 ,,,,,,,,3 ,,,,8 ,,,
,,,,9 ,,,,2 ,,,,6 ,,,
50 ,,,,6 ,,,,,,,,4 ,,,
25 00 ,III II ,I ,IIT ,3 0 ,I ,,,1 0 ,,,,2 0 ,,,LI 
mar ,abr may ,jun jul ,ago ,sept mar ,abr may ,jun jul ,,ago sept ,mar abr may jun ,jul ago ,sept ,mar ,abr may ,jun ,jul ago sept 
Loncoche ,,,,,Lonquimay ,,,,Los Sauces ,,,Lumaco ,,,
,,,,125 100 ,,,,100 ,,,,3 ,,,
9 ,,,,,,,,75 ,,,,2 ,,,
6 ,,,,75 50 ,,,,50 ,,,,,,,
3 ,,,,25 ,,,,25 ,,,,1 ,,,
,l ,I ,I ,00 ,,,,I 00 ,I LIIIIII ,I ,I II ,0 ,,,
