Angol,,,,Carahue,,,,,Cholchol,,,,Collipull,
15 ,,,,,,,,,3 ,,,,10 ,
10 ,,,,10 ,,,,,2 ,,,,,
,,,,5 ,,,,,,,,,5 ,
5 0 ,,,,0 ,IIII ,LIII li ,Id ,,1 0 ,,,,0 LI LI ,
mar abr may ,jun ,jul ago ,sept ,oct mar ,abr may jun ,jul ,ago ,sept oct ,mar ,abr ,may jun jul ago ,sept oct ,mar abr may jun jul ago ,sept 
Cunco ,,,,,Curacautin ,,,,Curarrehue ,,,,Ercilla ,
6 ,,,,3 ,,,,,20 ,,,,9 ,
4 ,,,,2 ,,,,,15 ,,,,6 ,
2 ,,,,1 ,,,,,10 ,,,,,
,,,,,,,,,05 ,,,,3 ,
II 0 ,,,,0 ,,,,,00 ,,,,0 II I I ILI ID I IIT ,
mar abr may ,jun ,jul ago ,sept ,oct mar ,abr may jun ,jul ,ago ,sept oct ,mar ,abr ,may jun jul ago ,sept oct ,mar abr may jun jul ago ,sept 
Freire ,,,,Galvarino ,,,,,Gorbea ,,,,Lautaro ,
75 ,,,,9 ,,,,,3 ,,,,100 ,
,,,,,,,,,2 ,,,,75 ,
50 ,,,,6 ,,,,,,,,,50 ,
25 00 III ,,,,3 0 ,I ,,I ,,1 0 ,,,,25 00 II ,
mar abr may Loncoche ,jun ,jul ago ,sept ,oct mar ,abr may jun Lonquimay ,jul ,ago ,sept oct ,mar Los ,abr Sauces ,may jun jul ago ,sept oct ,mar abr may jun jul Lumaco ,ago sept 
,,,,125 100 ,,,,,100 ,,,,3 ,
