Cauquenes,,,,Chanco,,,,,Colbun,,,Constitucion,
,,,5 4 ,,,,,,8 6 ,,,,
,,,3 ,,,,,,,,,10 ,
,,,2 ,,,,,,4 ,,,5 ,
ul ,lhu ,,1 0 ,,,,,,2 IIII 0 ,,,0 LIII I uh ,
mar abr ,may ,jun jul ago ,sept ,mar ,abr may ,jun ,jul ago ,sept ,mar abr may ,jun jul ,ago sept ,mar abr may jun jul ,ago sept 
Curepto ,,,,Curico ,,,,,Empedrado 6 ,,,Hualane 8 ,
,,,,,,,,,,,,,
,,,40 ,,,,,,4 ,,,6 ,
,,,20 ,,,,,,,,,4 ,
,,,,,,,WILL ,,2 ,,,2 ,
,,I III IT ,0 ,,WLaadl ,,,,0 ,III ,II I ,I 0 ,II II 
mar ,abr may ,jun jul ago ,sept ,mar ,abr may ,jun ,jul ago ,sept ,mar abr may ,jun jul ,ago sept ,mar abr may jun jul ,ago sept 
Licanten ,,,,Linares ,,,,,Longavi ,,,Maule ,
,,,,,,,,,,,,,
,,,,,,,,,,,,15 ,
,,,20 ,,,,,,10 ,,,10 ,
,,,10 ,,,,,,5 ,,,,
,,,,,,,,,,,,5 ,
,,,0 ,I ,The ,,,,0 I ,,,0 LI 11 I ,
mar abr ,may ,jun jul ago ,sept ,mar ,abr may ,jun ,jul ago ,sept ,mar abr may ,jun jul ,ago sept ,mar abr may jun jul ,ago sept 
Molina ,,,,Parral ,,,,,Pelarco ,,,Pelluhue ,
,,,10 ,,,,,,75 50 ,,,6 4 ,
