6,Pitrufquen,,,Pucon4,,,,Puren4,,,,Renaico4,,
,,,,,,,,,,,,,,
4 ,,,,3 ,,,,3 ,,,,3 ,,
,,,,2 1 ,,,,2 1 ,,,,2 1 ,,
0 ,,,II ,0 ,,,,0 ,,,,0 ,,
,mar abr may ,jun jul ,ago ,sept ,mar abr may ,jun ,jul ago ,sept ,mar abr may jun ,jul ,ago sept ,mar abr may ,jun jul ,ago sept 
5 ,Saavedra ,,,,Temuco ,,,Teodoro 5 ,Schmidt ,,,Tolten 20 ,,
4 ,,,,30 ,,,,4 ,,,,15 ,,
3 ,,,,20 ,,,,3 ,,,,10 ,,
2 ,,,,10 ,,,,2 ,,,,05 ,,
1 0 ,,,,0 ,,,,1 0 ,,,,00 ,,
,mar abr may ,jun jul ,ago ,sept ,mar abr may ,jun ,jul ago ,sept ,mar abr may jun ,jul ,ago sept ,mar abr may ,jun jul ,ago sept 
,Traiguen ,,,,Victoria ,,,Vilcun ,,,,Villarrica ,,
5 ,,,,,,,,,,,,,,
4 ,,,,75 ,,,,10 ,,,,6 ,,
3 2 ,,,,50 ,,,,,,,,4 ,,
1 ,,,,25 ,,,,5 ,,,,2 ,,
0 ,,,,00 ,I I III ,,IILI ,0 ,hi ,,,0 I III I I ,,II 
