AltoBiobio,,,Antuco,,,,Arauco,,,,,,Cabrero
10 ,75 ,,,,,,15 ,,,,,9 ,
,50 ,,,,,,10 ,,,,,6 ,
5 ,,,,,,,,,,,,,
,25 ,,,,,,5 ,,,,,3 ,
0 ITI II ,I 00 ,,II ,II IIIlIII IIIL ,IIIII I ,III I I II ,0 ,,,,,0 ,
mar abr may jun jul ,ago sept ,,mar abr may ,jun ,jul ,ago sept ,mar ,abr ,may ,jun ,jul ,ago sept ,mar 
Canete ,,,Chiguayante ,,,,,Concepcion ,,,,,Contulmo 
125 ,,,,,,,,,,,,,
100 ,,,,,,,60 ,,,,,9 ,
75 ,20 ,,,,,,,,,,,,
50 ,10 ,,,,,,40 ,,,,,6 ,
,,,,,,,20 ,,,,,3 ,
25 00 II ,0 ,,Lh ,,,,0 ,,L ,,,0 ,
mar abr may jun jul ,ago sept ,,mar abr may ,jun ,jul ,ago sept ,mar ,abr ,may ,jun ,jul ,ago sept ,mar 
Coronel ,,,Curanilahue ,,,,Florida ,,,,,,Hualpen 
40 ,,,,,,6 ,,,,,,,30 
30 ,10 ,,,,,,,,,,,,20 
20 ,,,,,,4 ,,,,,,,
10 ,5 ,,,,,2 ,,,,,,,10 
0 ,0 ,,I II ,IIIE ,,II ,0 ,I ,II ,II ,,I ,0 
mar abr may jun jul ,ago sept ,,mar abr may ,jun ,jul ,ago sept ,mar ,abr ,may ,jun ,jul ,ago sept ,mar 
Hualqui ,,Laja ,,,,,Lebu ,,,,,,Los 
,,,,,,,,,,,,,
20 ,6 4 ,,,,,,75 ,,,,,,10 
,,,,,,,50 ,,,,,,
10 ,2 ,,,,,,25 ,,,,,,5 
,,,II ,,,,,,LI ,II ,IIII I ,II ,
